ride_date,day_of_week,month,avg_duration_min,num_rides,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in
2014-02-18,Tuesday,2,14.63,5140,30.6,39.9,19.0,7.2,0.05
2014-04-08,Tuesday,4,12.15,21884,51.0,64.9,41.0,10.7,0.99
2014-10-23,Thursday,10,12.23,13371,52.2,59.0,51.1,15.6,1.0
2014-05-10,Saturday,5,15.36,21832,65.4,82.0,52.0,7.1,0.02
2014-09-21,Sunday,9,16.31,26080,70.4,77.0,57.9,3.5,0.21
2014-07-16,Wednesday,7,13.55,35391,73.8,88.0,68.0,6.4,0.93
2014-01-16,Thursday,1,11.39,19953,39.1,41.0,37.0,5.9,0.0
2014-02-06,Thursday,2,17.35,7196,28.4,34.0,21.9,8.6,0.44
2014-07-15,Tuesday,7,12.22,22963,76.3,88.0,72.0,7.0,0.57
2014-01-03,Friday,1,13.39,1144,16.6,32.0,10.9,16.7,0.3
2014-05-08,Thursday,5,12.22,17619,55.6,68.0,51.1,6.7,0.32
2014-10-11,Saturday,10,14.3,12965,56.2,62.1,51.8,6.2,0.13
2014-01-15,Wednesday,1,11.7,21630,42.4,50.0,36.0,5.5,0.36
2014-04-05,Saturday,4,14.95,18655,45.3,54.0,39.0,12.8,0.17
2014-12-11,Thursday,12,11.96,18141,34.2,37.0,30.2,14.9,0.02
2014-12-21,Sunday,12,12.43,8747,33.1,36.0,30.0,5.7,0.0
2014-08-02,Saturday,8,16.54,26784,71.1,86.0,64.9,8.7,0.34
2014-03-12,Wednesday,3,10.97,15101,48.1,64.9,39.0,7.4,0.0
2014-11-28,Friday,11,11.87,8378,34.4,37.9,30.9,13.1,0.01
2014-06-06,Friday,6,14.53,37719,67.8,75.9,61.0,11.3,0.3
2014-03-23,Sunday,3,12.28,11740,41.5,63.0,35.1,11.0,0.0
2014-09-27,Saturday,9,18.08,30193,72.6,82.9,60.1,3.6,0.0
2014-09-08,Monday,9,14.3,34335,71.0,80.1,64.9,9.4,0.0
2014-09-05,Friday,9,14.27,34831,78.3,86.0,71.1,8.0,0.0
2014-04-03,Thursday,4,12.89,26321,50.7,64.0,41.0,3.9,0.0
2014-10-07,Tuesday,10,13.51,32892,67.1,72.0,51.1,11.4,0.0
2014-09-20,Saturday,9,16.83,30011,65.0,73.9,55.0,9.1,0.0
2014-01-28,Tuesday,1,14.22,10033,18.5,28.0,12.9,11.8,0.0
2014-05-28,Wednesday,5,12.47,29690,61.3,86.0,54.0,11.7,0.0
2014-06-14,Saturday,6,16.76,28417,69.6,75.9,62.1,10.1,1.43
2014-07-03,Thursday,7,13.29,27587,78.9,91.0,72.0,6.3,0.65
2014-12-31,Wednesday,12,12.68,9739,29.4,35.1,27.0,7.8,0.0
2014-02-25,Tuesday,2,11.43,12830,28.7,44.1,24.1,12.9,0.0
2014-10-04,Saturday,10,14.13,13354,65.0,71.1,57.0,10.0,0.07
2014-02-19,Wednesday,2,14.16,8506,36.4,45.0,25.0,5.3,0.1
2014-09-11,Thursday,9,13.38,37081,73.8,84.0,63.0,9.1,0.0
2014-07-26,Saturday,7,16.45,27179,75.7,82.9,66.9,7.9,0.0
2014-08-01,Friday,8,13.53,32654,76.7,86.0,70.0,7.3,0.0
2014-01-13,Monday,1,11.78,20633,41.8,54.0,35.1,8.9,0.02
2014-03-22,Saturday,3,16.06,19880,48.4,63.0,37.0,9.7,0.0
2014-06-20,Friday,6,16.7,34405,73.3,80.1,66.0,8.0,0.0
2014-07-01,Tuesday,7,13.23,34854,79.0,88.0,69.1,10.2,0.0
2014-06-15,Sunday,6,17.32,28382,67.6,79.0,61.0,10.0,0.0
2014-12-30,Tuesday,12,11.5,12196,32.6,44.1,28.9,8.0,0.0
2014-07-17,Thursday,7,13.72,38619,75.0,82.9,68.0,4.8,0.0
2014-08-26,Tuesday,8,13.52,34519,79.0,86.0,68.0,4.6,0.0
2014-03-15,Saturday,3,14.78,18053,47.9,57.9,39.0,11.1,0.0
2014-05-11,Sunday,5,18.77,28326,69.3,82.0,55.0,9.8,0.93
2014-06-26,Thursday,6,13.57,34846,77.5,86.0,71.1,6.3,0.07
2014-09-28,Sunday,9,18.3,29021,73.4,84.0,64.9,3.2,0.0
2014-06-24,Tuesday,6,13.74,35897,73.5,82.0,66.9,10.8,0.0
2014-04-14,Monday,4,14.84,28832,61.7,73.9,50.0,10.5,0.0
2014-02-12,Wednesday,2,14.08,8580,19.0,26.1,14.0,9.2,0.0
2014-03-14,Friday,3,10.92,16299,29.7,44.1,19.0,12.9,0.0
2014-03-17,Monday,3,10.62,12503,28.3,33.1,23.0,9.3,0.0
2014-08-06,Wednesday,8,13.64,36336,76.9,89.1,71.1,7.1,0.0
2014-01-23,Thursday,1,15.4,5071,13.5,21.0,7.0,11.9,0.0
2014-09-02,Tuesday,9,13.56,30507,84.3,93.0,75.9,6.8,0.0
2014-02-04,Tuesday,2,12.54,8709,29.6,42.1,25.0,6.2,0.81
2014-02-20,Thursday,2,13.57,11792,42.5,50.0,28.0,8.1,0.25
2014-12-28,Sunday,12,13.04,7902,48.1,55.0,42.1,6.8,0.0
2014-07-29,Tuesday,7,13.57,37092,70.6,84.0,64.9,11.4,0.0
2018-01-17,Wednesday,1,10.39,19010,33.8,36.0,24.1,7.9,0.05
2018-02-25,Sunday,2,19.66,16150,42.3,54.0,39.9,9.6,0.62
2018-05-16,Wednesday,5,12.53,32766,62.9,70.0,55.9,6.7,0.44
2018-05-20,Sunday,5,23.55,56949,66.7,84.0,50.0,7.1,0.44
2018-03-22,Thursday,3,11.82,27308,39.6,51.1,32.0,13.8,0.64
2018-05-11,Friday,5,18.96,75266,65.1,73.0,55.9,8.3,0.19
2018-01-08,Monday,1,17.42,15821,22.2,30.9,6.1,9.4,0.0
2018-04-01,Sunday,4,21.5,33149,50.4,59.0,39.9,11.0,0.0
2018-02-06,Tuesday,2,11.46,34102,31.6,41.0,28.0,6.1,0.0
2018-03-26,Monday,3,12.77,40295,40.4,50.0,34.0,9.1,0.0
2018-04-12,Thursday,4,13.6,53168,50.6,60.1,37.9,8.1,0.0
2018-04-23,Monday,4,16.77,57767,53.5,64.9,45.0,7.8,0.0
2018-01-16,Tuesday,1,11.39,30278,27.9,33.1,16.0,6.9,0.0
2018-03-10,Saturday,3,14.9,25444,37.4,44.1,30.9,14.0,0.0
2018-03-19,Monday,3,12.72,39278,39.8,46.9,30.0,7.0,0.0
2018-03-11,Sunday,3,24.69,27597,38.9,46.0,33.1,10.3,0.0
2018-02-01,Thursday,2,11.32,35561,36.9,45.0,19.0,8.1,0.0
2018-05-25,Friday,5,20.34,69345,77.9,89.1,66.0,9.6,0.0
2018-01-05,Friday,1,16.16,4972,16.7,28.9,10.0,22.4,0.0
2018-02-27,Tuesday,2,14.21,48516,47.3,57.0,39.9,7.5,0.0
2018-03-09,Friday,3,12.98,34912,36.8,44.1,30.9,14.0,0.0
2018-01-07,Sunday,1,12.76,5640,10.8,18.0,6.1,11.7,0.0
2018-01-12,Friday,1,13.36,22254,47.9,60.1,35.1,9.4,0.01
2018-01-30,Tuesday,1,10.92,27996,34.2,44.1,30.0,11.2,0.06
2018-04-04,Wednesday,4,12.15,36753,45.9,57.0,39.0,9.3,0.28
2018-03-30,Friday,3,13.86,34787,50.1,60.1,43.0,6.3,0.02
2018-03-07,Wednesday,3,10.35,8188,36.6,41.0,33.8,14.7,0.1
2018-05-27,Sunday,5,24.0,25814,68.8,91.9,59.0,11.2,0.12
2018-01-04,Thursday,1,17.33,1922,26.1,30.0,17.1,17.0,0.02
2018-02-15,Thursday,2,12.13,44193,51.0,61.0,36.0,6.8,0.13
2018-02-10,Saturday,2,15.01,16324,42.0,51.1,28.0,5.5,0.0
2018-02-05,Monday,2,12.04,29068,37.4,46.9,30.0,12.6,1.01
2018-05-13,Sunday,5,17.89,25986,53.6,64.0,52.0,7.3,0.14
2018-05-12,Saturday,5,16.28,34535,59.2,73.0,54.0,7.3,0.06
2018-04-19,Thursday,4,11.34,38298,46.2,55.0,39.0,9.9,0.07
2018-04-29,Sunday,4,18.7,44837,54.2,66.0,50.0,10.6,0.22
2018-05-28,Monday,5,22.91,49043,60.2,82.0,55.9,8.3,0.41
2018-03-25,Sunday,3,12.97,25562,40.4,51.1,35.1,11.0,0.0
2018-04-07,Saturday,4,14.38,33245,45.7,62.1,37.0,10.5,0.09
2018-04-20,Friday,4,16.0,47052,43.2,50.0,37.9,16.3,0.08
2018-01-06,Saturday,1,29.81,4295,11.8,19.9,8.1,19.8,0.0
2018-01-14,Sunday,1,23.56,12399,20.0,25.0,16.0,13.8,0.11
2018-03-14,Wednesday,3,11.43,35377,36.7,42.1,32.0,16.3,0.05
2018-01-22,Monday,1,20.77,36865,42.1,52.0,37.9,7.1,0.0
2018-04-05,Thursday,4,13.38,39814,41.6,57.0,35.1,18.2,0.11
2018-01-03,Wednesday,1,11.21,24299,22.6,30.0,14.0,7.5,0.0
2018-05-04,Friday,5,17.76,71199,75.8,93.0,68.0,5.5,0.01
2018-01-31,Wednesday,1,11.03,31276,26.2,37.0,19.0,13.0,0.0
2018-05-21,Monday,5,22.68,71220,68.9,84.0,55.0,7.6,0.0
2018-02-13,Tuesday,2,11.13,35189,33.0,41.0,27.0,9.9,0.0
2018-05-01,Tuesday,5,17.45,72035,60.3,82.0,44.1,7.8,0.0
2018-04-14,Saturday,4,22.91,62597,61.6,82.0,51.1,9.4,0.0
2018-03-15,Thursday,3,21.85,39574,38.6,48.0,32.0,15.0,0.0
2018-04-09,Monday,4,11.93,40509,38.7,48.9,33.1,10.6,0.0
2018-01-18,Thursday,1,11.02,27662,26.0,36.0,19.9,12.4,0.12
2018-05-06,Sunday,5,17.53,48993,62.6,75.9,57.0,7.6,0.0
2018-03-12,Monday,3,13.36,36340,38.2,46.0,33.1,10.5,0.0
2018-04-24,Tuesday,4,14.89,58527,54.8,66.0,45.0,7.9,0.0
2014-12-06,Saturday,12,13.02,4047,44.9,48.9,34.0,4.1,0.7
